video_id,platform,url,title,creator_name,publish_date,latest_test_relevance,has_actual_judgment,has_concrete_footage,is_guide_like,selection_status,notes,duration_seconds,view_count,latest_test_confidence,inclusion_reason,ranking_score,search_query
BV1KWc1ztERv,bilibili,https://www.bilibili.com/video/BV1KWc1ztERv/,【洛克王国世界】线下试玩会爆料汇总：新精灵新场景新玩法！,原画菌,2026-03-13,false,false,true,false,candidate,shortlist_platform=bilibili; search_query=洛克王国世界 review gameplay test; ranking_score=6.470; latest_test_confidence=0.55; duration_seconds=424; view_count=77; inclusion_reason=title matches game; usable video length; has audience signal,424,77,0.55,title matches game; usable video length; has audience signal,6.470,洛克王国世界 review gameplay test
BV1kYZBB4EC7,bilibili,https://www.bilibili.com/video/BV1kYZBB4EC7/,洛克王国世界大师pvp实况解说,禾风清一叶,2026-02-20,false,false,true,false,candidate,shortlist_platform=bilibili; search_query=洛克王国世界 review gameplay test; ranking_score=6.378; latest_test_confidence=0.55; duration_seconds=340; view_count=47; inclusion_reason=title matches game; usable video length; has audience signal,340,47,0.55,title matches game; usable video length; has audience signal,6.378,洛克王国世界 review gameplay test
BV1F5wtzvEGu,bilibili,https://www.bilibili.com/video/BV1F5wtzvEGu/,洛克王国世界：手机端实机最高画质城区跑图测试，表现如何？,长夜白-洛克王国世界,2026-03-14,false,false,true,false,candidate,shortlist_platform=bilibili; search_query=洛克王国世界 review gameplay test; ranking_score=6.336; latest_test_confidence=0.55; duration_seconds=191; view_count=37; inclusion_reason=title matches game; usable video length; has audience signal,191,37,0.55,title matches game; usable video length; has audience signal,6.336,洛克王国世界 review gameplay test
BV1jVcSzDE4v,bilibili,https://www.bilibili.com/video/BV1jVcSzDE4v/,《洛克王国世界线下展全精灵图鉴！一口气看完全部精灵》,灰鼠的蓝灯,2026-03-13,false,false,true,false,candidate,shortlist_platform=bilibili; search_query=洛克王国世界 review gameplay test; ranking_score=6.161; latest_test_confidence=0.55; duration_seconds=1937; view_count=11; inclusion_reason=title matches game; usable video length; has audience signal,1937,11,0.55,title matches game; usable video length; has audience signal,6.161,洛克王国世界 review gameplay test
BV1S3ymBxEM4,bilibili,https://www.bilibili.com/video/BV1S3ymBxEM4/,洛克王国世界：0~40级，萌新入坑必看！,卷纸卷纸卷纸,2025-10-29,false,false,true,false,candidate,shortlist_platform=bilibili; search_query=洛克王国世界 review gameplay test; ranking_score=5.995; latest_test_confidence=0.55; duration_seconds=1395; view_count=235; inclusion_reason=title matches game; usable video length; has audience signal,1395,235,0.55,title matches game; usable video length; has audience signal,5.995,洛克王国世界 review gameplay test
